,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCHES
423,HAMARI TRAORÉ,REAL SOCIEDAD,0,11,0
424,JON PACHECO,REAL SOCIEDAD,0,14,0
425,ÁLEX REMIRO,REAL SOCIEDAD,0,36,0
426,ARITZ ELUSTONDO,REAL SOCIEDAD,0,22,0
427,ETIENNE ETO'O PINEDA,RAYO VALLECANO,0,2,0
428,ALFONSO ESPINO,RAYO VALLECANO,0,16,0
429,PEP CHAVARRÍA,RAYO VALLECANO,0,34,0
430,MIGUEL ÁNGEL MORRO,RAYO VALLECANO,0,0,0
431,ÓSCAR VALENTÍN,RAYO VALLECANO,0,34,0
432,GERARD GUMBAU,RAYO VALLECANO,0,22,0
433,ARIDANE HERNÁNDEZ,RAYO VALLECANO,0,14,0
434,PELAYO FERNÁNDEZ,RAYO VALLECANO,0,2,0
435,MARCO DE LAS SIAS,RAYO VALLECANO,0,0,0
436,DANI CÁRDENAS,RAYO VALLECANO,0,6,0
437,IVÁN BALLIU,RAYO VALLECANO,0,25,0
438,FRAN GONZÁLEZ,REAL MADRID,0,1,0
439,THIBAUT COURTOIS,REAL MADRID,0,30,0
440,DANI CEBALLOS,REAL MADRID,0,23,0
441,ANDRII LUNIN,REAL MADRID,0,7,0
442,FERLAND MENDY,REAL MADRID,0,14,0
443,AURÉLIEN TCHOUAMÉNI,REAL MADRID,0,32,0
444,JESÚS VALLEJO,REAL MADRID,0,4,0
445,FRAN GARCÍA,REAL MADRID,0,31,0
446,ANTONIO RÜDIGER,REAL MADRID,0,29,0
447,DOMINIK GREIF,RCD MALLORCA,0,31,0
448,ANTONIO LATORRE GRUESO,RCD MALLORCA,0,14,0
449,LEO ROMÁN,RCD MALLORCA,0,7,0
450,SAMUEL DE ALMEIDA COSTA,RCD MALLORCA,0,32,0
451,IVÁN CUÉLLAR,RCD MALLORCA,0,0,0
452,ANTONIO SÁNCHEZ,RCD MALLORCA,0,33,0
453,MATEU MOREY,RCD MALLORCA,0,16,0
454,SIEBE VAN DER HEYDEN,RCD MALLORCA,0,2,0
455,DANIEL LUNA,RCD MALLORCA,0,2,0
456,JOSÉ MANUEL ARIAS COPETE,RCD MALLORCA,0,25,0
457,MARC DOMENECH,RCD MALLORCA,0,10,0
458,MANU MORLANES,RCD MALLORCA,0,23,0
459,PABLO MAFFEO,RCD MALLORCA,0,30,0
460,NAHUEL MOLINA,ATLÉTICO DE MADRID,0,30,0
461,JAN OBLAK,ATLÉTICO DE MADRID,0,36,0
462,ARTHUR VERMEEREN,ATLÉTICO DE MADRID,0,0,0
463,REINILDO ISNARD MANDAVA,ATLÉTICO DE MADRID,0,19,0
464,ANTONIO GOMIS,ATLÉTICO DE MADRID,0,0,0
465,HORATIU MOLDOVAN,ATLÉTICO DE MADRID,0,0,0
466,AXEL WITSEL,ATLÉTICO DE MADRID,0,14,0
467,RODRIGO RIQUELME,ATLÉTICO DE MADRID,0,16,0
468,JOSÉ GIMÉNEZ,ATLÉTICO DE MADRID,0,27,0
469,ILIAS KOSTIS,ATLÉTICO DE MADRID,0,0,0
470,JAVI GALÁN,ATLÉTICO DE MADRID,0,25,0
471,SERGI GÓMEZ,RCD ESPANYOL DE BARCELONA,0,12,0
472,OMAR EL HILALI,RCD ESPANYOL DE BARCELONA,0,36,0
473,OMAR SADIK,RCD ESPANYOL DE BARCELONA,0,0,0
474,FERNANDO PACHECO,RCD ESPANYOL DE BARCELONA,0,0,0
475,ÁNGEL FORTUÑO,RCD ESPANYOL DE BARCELONA,0,0,0
476,RAFAEL BAUZA,RCD ESPANYOL DE BARCELONA,0,5,0
477,ÁLVARO AGUADO,RCD ESPANYOL DE BARCELONA,0,16,0
478,BRIAN OLIVÁN,RCD ESPANYOL DE BARCELONA,0,17,0
479,SALVI SÁNCHEZ,RCD ESPANYOL DE BARCELONA,0,0,0
480,JOSÉ GRAGERA,RCD ESPANYOL DE BARCELONA,0,10,0
481,ALEX KRÁL,RCD ESPANYOL DE BARCELONA,0,37,0
482,POL LOZANO,RCD ESPANYOL DE BARCELONA,0,30,0
483,JOAN GARCÍA,RCD ESPANYOL DE BARCELONA,0,38,0
484,ANTONIU ROCA,RCD ESPANYOL DE BARCELONA,0,26,0
485,LUCAS OLIVEIRA ROSA,REAL VALLADOLID CF,0,21,0
486,DARWIN MACHÍS,REAL VALLADOLID CF,0,18,0
487,AMATH NDIAYE,REAL VALLADOLID CF,0,13,0
488,STANKO JURIC,REAL VALLADOLID CF,0,26,0
489,CÉSAR DE LA HOZ,REAL VALLADOLID CF,0,0,0
490,JORGE IGLESIAS GONZÁLEZ,REAL VALLADOLID CF,0,0,0
491,LUIS PÉREZ,REAL VALLADOLID CF,0,30,0
492,ARNAU RAFÚS,REAL VALLADOLID CF,0,1,0
493,DAVID TORRES,REAL VALLADOLID CF,0,18,0
494,ERAY CÖMERT,REAL VALLADOLID CF,0,25,0
495,RAÚL CHASCO,REAL VALLADOLID CF,0,2,0
496,KARL HEIN,REAL VALLADOLID CF,0,31,0
497,VÍCTOR MESEGUER,REAL VALLADOLID CF,0,14,0
498,STIPE BIUK,REAL VALLADOLID CF,0,0,0
499,DIEGO CONDE,VILLARREAL CF,0,22,0
500,KIKO FEMENÍA,VILLARREAL CF,0,28,0
501,ARNAU SOLÀ,VILLARREAL CF,0,1,0
502,IKER ÁLVAREZ,VILLARREAL CF,0,0,0
503,PAU NAVARRO,VILLARREAL CF,0,17,0
504,RAÚL ALBIOL,VILLARREAL CF,0,15,0
505,WILLY KAMBWALA,VILLARREAL CF,0,19,0
506,ERIC BAILLY,VILLARREAL CF,0,12,0
507,KELECHI IHEANACHO,SEVILLA FC,0,9,0
508,ALBERT SAMBI LOKONGA,SEVILLA FC,0,22,0
509,VICENTE GUAITA,CELTA,0,34,0
510,LUIZ LÚCIO REIS JÚNIOR,VILLARREAL CF,0,17,0
511,RAÚL DE TOMÁS,RAYO VALLECANO,0,2,0
512,AUGUSTO BATALLA,RAYO VALLECANO,0,32,0
513,JUAN BERROCAL,GETAFE CF,0,19,0
514,EGOITZ ARANA,REAL SOCIEDAD,0,0,0
515,JAN SALAS,RCD MALLORCA,0,4,0
516,ÓSCAR DE MARCOS,ATHLETIC CLUB,0,26,0
517,JULEN AGIRREZABALA,ATHLETIC CLUB,0,14,0
518,ANDRÉ FILIPE MAGALHÃES RIBEIRO FERREIRA,REAL VALLADOLID CF,0,6,0
519,MARIO MARTÍN,REAL VALLADOLID CF,0,30,0
520,ABDE REBBACH,DEPORTIVO ALAVÉS,0,8,0
521,JACKSON POROZO,CD LEGANÉS,0,0,0
522,ADRIÀ ALTI,CD LEGANÉS,0,22,0
523,DALEY SINKGRAVEN,UD LAS PALMAS,0,2,0
524,MANUEL GONZÁLEZ PALLARÉS,REAL BETIS,0,0,0
525,ALEJANDRO ITURBE,ATLÉTICO DE MADRID,0,0,0
526,PAU LÓPEZ,GIRONA FC,0,1,0
527,ANDRÉS CUENCA,FC BARCELONA,0,0,0
528,AITOR FRAGA,REAL SOCIEDAD,0,0,0
529,IGOR ZUBELDIA,REAL SOCIEDAD,0,28,0
530,IKER CÓRDOBA,VALENCIA CF,0,2,0
531,JUAN MUSSO,ATLÉTICO DE MADRID,0,2,0
532,NICO SERRANO,ATHLETIC CLUB,0,4,0
533,SANTIAGO MOURIÑO,DEPORTIVO ALAVÉS,0,25,0
534,JOSÉ LUIS CATALÀ VÁZQUEZ,RCD ESPANYOL DE BARCELONA,0,0,0
535,ÁLVARO KILLANE,UD LAS PALMAS,0,0,0
536,FABIO GONZÁLEZ,UD LAS PALMAS,0,2,0
537,JOSÉ ARNÁIZ,CA OSASUNA,0,15,0
538,CENK ÖZKACAR,REAL VALLADOLID CF,0,11,0
539,SERGI CANÓS,VALENCIA CF,0,17,0
540,DANI REQUENA,VILLARREAL CF,0,1,0
541,ANTONIO ESPIGARES,VILLARREAL CF,0,0,0
542,NACI ÜNÜVAR,RCD ESPANYOL DE BARCELONA,0,2,0
543,UNAI NÚÑEZ,ATHLETIC CLUB,0,10,0
544,VÍCTOR PUIG,UD LAS PALMAS,0,0,0
545,VALENTÍN BARCO,SEVILLA FC,0,7,0
546,MATÍAS ÁRBOL,SEVILLA FC,0,0,0
547,GORKA RIVERA,GETAFE CF,0,1,0
548,JOHN PATRICK,GETAFE CF,0,4,0
549,SÉBASTIEN HALLER,CD LEGANÉS,0,8,0
550,PEDRO ORTIZ,SEVILLA FC,0,0,0
551,SERGIO MESTRE,REAL MADRID,0,0,0
552,JOSÉ MARÍA ANDRES BAIXAULI,REAL MADRID,0,2,0
553,GUILLEM TRILLA,GETAFE CF,0,0,0
554,FRANCISCO JORGE TAVARES OLIVEIRA,RCD MALLORCA,0,8,0
555,NAYEF AGUERD,REAL SOCIEDAD,0,21,0
556,ÁLVARO ODRIOZOLA,REAL SOCIEDAD,0,2,0
557,ROBERT KENEDY NUNES DO NASCIMENTO,REAL VALLADOLID CF,0,2,0
558,FRANCO CERVI,CELTA,0,7,0
559,TADEO ALLENDE,CELTA,0,1,0
560,DIEGO KOCHEN,FC BARCELONA,0,0,0
561,GUILLE FERNÁNDEZ,FC BARCELONA,0,0,0
562,RAÚL MARTÍNEZ,GIRONA FC,0,0,0
563,JAVI SERRANO,ATLÉTICO DE MADRID,0,0,0
564,GERMÁN VALERA,VALENCIA CF,0,8,0
565,MAXIMILIANO CAUFRIEZ,VALENCIA CF,0,1,0
566,WARREN MADRIGAL,VALENCIA CF,0,0,0
567,ÍÑIGO RUÍZ DE GALARRETA,ATHLETIC CLUB,0,26,0
568,JAMES RODRÍGUEZ,RAYO VALLECANO,0,6,0
569,SERGI GUARDIOLA,RAYO VALLECANO,0,16,0
570,TONI FERNÁNDEZ,FC BARCELONA,0,0,0
571,ANSU FATI,FC BARCELONA,0,6,0
572,JUMA BAH,REAL VALLADOLID CF,0,12,0
573,MARIO MAROTO,REAL VALLADOLID CF,0,2,0
574,DJORDJIJE MEDENICA,GETAFE CF,0,0,0
575,DAVID ARGÜELLES,GETAFE CF,0,1,0
576,ABDOULAYE KEITA,GETAFE CF,0,3,0
577,JESÚS JOAQUÍN FERNÁNDEZ SÁENZ DE LA TORRE,SEVILLA FC,0,16,0
578,FRANCISCO JESÚS CRESPO GARCÍA,UD LAS PALMAS,0,1,0
579,FRAN PÉREZ,VALENCIA CF,0,26,0
580,NOBEL MENDY,REAL BETIS,0,2,0
581,MATEO FLORES,REAL BETIS,0,6,0
582,DAVID JIMÉNEZ,REAL MADRID,0,0,0
583,SEBAS WADE,RCD MALLORCA,0,0,0
584,ÁRON YAAKOBISHVILI,FC BARCELONA,0,0,0
585,MATEO MEJÍA,SEVILLA FC,0,1,0
586,THOMAS LEMAR,ATLÉTICO DE MADRID,0,5,0
587,PEIO CANALES,ATHLETIC CLUB,0,8,0
588,ÁLVARO ACEVES,REAL VALLADOLID CF,0,0,0
589,ALEJANDRO JAY,DEPORTIVO ALAVÉS,0,0,0
590,LLORENÇ SERRED,RCD ESPANYOL DE BARCELONA,0,0,0
591,ENRIC GARCÍA,GIRONA FC,0,0,0
592,SELVI CLUA,GIRONA FC,0,4,0
593,MIN-SU KIM,GIRONA FC,0,3,0
594,LUCAS GARCÍA MADRIGAL,GIRONA FC,0,0,0
595,MIHAILO RISTIC,CELTA,0,10,0
596,JAVI LLABRÉS,RCD MALLORCA,0,1,0
597,WOJCIECH SZCZESNY,FC BARCELONA,0,15,0
598,JOSÉ GAYÀ,VALENCIA CF,0,23,0
599,JAUME DOMÈNECH,VALENCIA CF,0,0,0
600,RUBÉN GÓMEZ,VILLARREAL CF,0,0,0
601,EGOITZ MUÑOZ,DEPORTIVO ALAVÉS,0,0,0
602,PAPA DAME BA,GIRONA FC,0,1,0
603,KIKE BARJA,CA OSASUNA,0,15,0
604,GERÓNIMO SPINA,ATLÉTICO DE MADRID,0,0,0
605,AITOR GISMERA,ATLÉTICO DE MADRID,0,0,0
606,ALEKSANDAR ANDREEV,GIRONA FC,0,0,0
607,FERRÁN RUIZ MARTÍ,GIRONA FC,0,1,0
608,DAWDA CAMARA,GIRONA FC,0,0,0
609,JUSTIN SMITH,RCD ESPANYOL DE BARCELONA,0,5,0
610,ALEX ALMANSA,RCD ESPANYOL DE BARCELONA,0,0,0
611,ISRAEL DOMÍNGUEZ,SEVILLA FC,0,1,0
612,JONI MONTIEL,RAYO VALLECANO,0,0,0
613,NAIM GARCÍA,CD LEGANÉS,0,0,0
614,RAÚL ASENCIO,REAL MADRID,0,23,0
615,PABLO BUSTO,REAL BETIS,0,0,0
616,ANTONINO JASTIN GARCÍA LÓPEZ,GIRONA FC,0,0,0
617,CARLOS GUIRAO,REAL BETIS,0,2,0
618,RICARD ARTERO,GIRONA FC,0,0,0
619,PERE GARCÍA,RCD MALLORCA,0,0,0
620,NOAH DARVICH,FC BARCELONA,0,0,0
621,ÁLVARO CORTÉS,FC BARCELONA,0,0,0
622,UNAI SIMÓN,ATHLETIC CLUB,0,21,0
623,DIEGO AGUADO,REAL MADRID,0,0,0
624,ALASSANE DIATTA,VILLARREAL CF,0,0,0
625,IKER BACHILLER,CD LEGANÉS,0,0,0
626,EDU EXPÓSITO,RCD ESPANYOL DE BARCELONA,0,19,0
627,POL TRISTÁN,RCD ESPANYOL DE BARCELONA,0,0,0
628,LORENZO AGUADO HERRERA,REAL MADRID,0,2,0
629,GONZALO GARCÍA,REAL MADRID,0,3,0
630,LUCA DE LA TORRE,CELTA,0,1,0
631,YOEL LAGO,CELTA,0,8,0
632,DANIEL YÁÑEZ,REAL MADRID,0,1,0
633,IÑAKI RUPÉREZ,REAL SOCIEDAD,0,0,0
634,RUBÉN IRANZO,VALENCIA CF,0,0,0
635,ADRIÁN ARNU,REAL VALLADOLID CF,0,5,0
636,RAFAEL ROMERO,SEVILLA FC,0,0,0
637,DARÍO BENAVIDES,SEVILLA FC,0,1,0
638,VÍCTOR MUÑOZ,REAL MADRID,0,2,0
639,YOUSSEF LEKHEDIM,REAL MADRID,0,0,0
640,THIAGO OJEDA,VILLARREAL CF,0,1,0
641,DIEGO MÉNDEZ,RAYO VALLECANO,0,0,0
642,JUAN PEDRO GIL BUENO,RAYO VALLECANO,0,0,0
643,VICENT ABRIL,VALENCIA CF,0,0,0
644,FACUNDO GARCÉS,DEPORTIVO ALAVÉS,0,10,0
645,GERMÁN GARCÍA,REAL BETIS,0,0,0
646,JORGE BENITO,GETAFE CF,0,0,0
647,MARTÍN CUÉLLAR,GETAFE CF,0,0,0
648,LUCA LÖHR,GETAFE CF,0,0,0
649,ISMAEL BEKHOUCHA,GETAFE CF,0,5,0
650,CARLOS LUMBRERAS,CA OSASUNA,0,0,0
651,ISRAEL MORA,UD LAS PALMAS,0,0,0
652,SERGIO VIERA,UD LAS PALMAS,0,2,0
653,ADRIÁN NIÑO,ATLÉTICO DE MADRID,0,1,0
654,JONES EL ABDELLAOUI,CELTA,0,0,0
655,DAVID ALABA,REAL MADRID,0,7,0
656,DAOUDA DOUMBIA,DEPORTIVO ALAVÉS,0,0,0
657,MAX AARONS,VALENCIA CF,0,4,0
658,GUILLERMO RUIZ,CD LEGANÉS,0,0,0
659,ASIER OSAMBELA,CA OSASUNA,0,0,0
660,ANDY PELMARD,UD LAS PALMAS,0,4,0
661,LEANDRO ANTONETTI,SEVILLA FC,0,2,0
662,DIEGO HORMIGO,SEVILLA FC,0,1,0
663,URKO GONZÁLEZ,RCD ESPANYOL DE BARCELONA,0,18,0
664,ÁNGEL ORTIZ,REAL BETIS,0,5,0
665,XAVIER PLEGUEZUELO,REAL BETIS,0,0,0
666,PABLO GARCÍA,REAL BETIS,0,3,0
667,SERGIO ARRIBAS,REAL BETIS,0,1,0
668,PEDRO ALEMAÑ,VALENCIA CF,0,0,0
669,GRÉGOIRE SWIDERSKI,DEPORTIVO ALAVÉS,0,0,0
670,JUAN MIGUEL JIMÉNEZ LÓPEZ,GETAFE CF,0,24,0
671,AKOR ADAMS,SEVILLA FC,0,4,0
672,RAYANE BELAID,ATLÉTICO DE MADRID,0,0,0
673,DAVID LÓPEZ,RCD MALLORCA,0,2,0
674,TAMÁS NIKITSCHER,REAL VALLADOLID CF,0,13,0
675,JOSEPH AIDOO,REAL VALLADOLID CF,0,9,0
676,GUILHERME SOUSA CARVALHO FERNANDES,REAL BETIS,0,0,0
677,MARTÍN CONDE,CELTA,0,0,0
678,ANTAL YAAKOBISHVILI,GIRONA FC,0,0,0
679,VLADYSLAV KRAPYVTSOV,GIRONA FC,0,2,0
680,ANTONIO CANDELA,REAL VALLADOLID CF,0,12,0
681,FLORIAN GRILLITSCH,REAL VALLADOLID CF,0,13,0
682,ADAM AZNOU,REAL VALLADOLID CF,0,13,0
683,AINGERU OLABARRIETA,ATHLETIC CLUB,0,1,0
684,ENDIKA BUJAN,ATHLETIC CLUB,0,1,0
685,SERGIO RUIZ,UD LAS PALMAS,0,0,0
686,ELÍAS ROMERO,UD LAS PALMAS,0,0,0
687,JUAN BERNAT,GETAFE CF,0,24,0
688,JON BALDA,REAL SOCIEDAD,0,0,0
689,JOSÉ ÁNGEL LÓPEZ,RCD ESPANYOL DE BARCELONA,0,0,0
690,IVÁN JAIME,VALENCIA CF,0,9,0
691,LUÍS HENRIQUES DE BARROS LOPES,CD LEGANÉS,0,10,0
692,BORNA BARISIC,CD LEGANÉS,0,1,0
693,PABLO VALENCIA,CA OSASUNA,0,0,0
694,ARTHUR HENRIQUE RAMOS DE OLIVEIRA MELO,GIRONA FC,0,15,0
695,CARLES ALEÑÁ,DEPORTIVO ALAVÉS,0,24,0
696,IÑIGO ARGUIBIDE,CA OSASUNA,0,0,0
697,ALFONSO PEDRAZA,VILLARREAL CF,0,12,0
698,ALEX MARCHAL,REAL SOCIEDAD,0,0,0
699,LUKEN BEITIA,REAL SOCIEDAD,0,1,0
700,ADRIÁN RODRÍGUEZ SOJO,REAL VALLADOLID CF,0,0,0
701,DIEGO MARTÍN PÉREZ,UD LAS PALMAS,0,2,0
702,ROGER HINOJO,RCD ESPANYOL DE BARCELONA,0,1,0
703,HAMZA BELLARI,VALENCIA CF,0,0,0
704,VÍCTOR VALDEPEÑAS TALAVERA,REAL MADRID,0,0,0
705,SERGIO LOZANO,RAYO VALLECANO,0,0,0
706,ANDER IZAGIRRE,ATHLETIC CLUB,0,0,0
707,JON GARCÍA,CA OSASUNA,0,0,0
708,ALEXIS OLMEDO,FC BARCELONA,0,0,0
709,DANIEL DÍAZ,REAL SOCIEDAD,0,1,0
710,ISMAEL SIERRA,CA OSASUNA,0,0,0
711,IGNACIO NICOLAU BENLLOCH,UD LAS PALMAS,0,0,0
712,HENRIQUE SILVA MILAGRES,REAL VALLADOLID CF,0,5,0
713,SIXTUS OGBUEHI,CA OSASUNA,0,0,0
714,MIKEL GOTI,REAL SOCIEDAD,0,0,0
715,OMAR JANNEH,ATLÉTICO DE MADRID,0,0,0
716,PABLO RAMÓN,RCD ESPANYOL DE BARCELONA,0,0,0
717,ANDRÉS CASTRÍN,SEVILLA FC,0,0,0
718,MARCOS FERNÁNDEZ,REAL BETIS,0,0,0
719,RUDY KOHON,REAL BETIS,0,0,0
720,IAGO PARENTE,REAL VALLADOLID CF,0,1,0
721,LANDRY FARRÉ,FC BARCELONA,0,0,0
722,DANI RODRÍGUEZ,FC BARCELONA,0,1,0
723,JOAQUÍN MARTÍNEZ GAUNA,SEVILLA FC,0,0,0
724,LULO DASILVA,SEVILLA FC,0,0,0
725,MIGUEL ROMÁN,CELTA,0,0,0
726,ALEJANDRO REGO,ATHLETIC CLUB,0,0,0
727,IBRAHIM ALANI,REAL VALLADOLID CF,0,3,0
728,LUCAS NUÑEZ,VALENCIA CF,0,0,0
729,MARIO RIVAS,REAL MADRID,0,0,0
730,IKER VARELA,ATHLETIC CLUB,0,0,0
731,XAVIER MORENO HERNÁNDEZ,REAL VALLADOLID CF,0,1,0
732,HUGO SOLOZABAL,CD LEGANÉS,0,0,0
733,ARTURO RODRÍGUEZ,UD LAS PALMAS,0,1,0
734,JOSÉ CARLOS GONZÁLEZ,UD LAS PALMAS,0,1,0
735,RAFAEL FERNÁNDEZ RODRÍGUEZ,CA OSASUNA,0,0,0
736,LANDER PINILLOS,DEPORTIVO ALAVÉS,0,0,0
