,NAME,TEAM,GOALS SCORED,GAMES,GOALS PER MATCHES
70,BRAHIM DÍAZ,REAL MADRID,4,31,0.13
71,DANI RODRÍGUEZ,RCD MALLORCA,4,37,0.11
72,ÁNGEL CORREA,ATLÉTICO DE MADRID,4,31,0.13
73,LEANDRO CABRERA,RCD ESPANYOL DE BARCELONA,4,33,0.12
74,RAÚL MORO,REAL VALLADOLID CF,4,33,0.12
75,SANTI COMESAÑA,VILLARREAL CF,4,35,0.11
76,YEREMY PINO,VILLARREAL CF,4,34,0.12
77,PAPE GUEYE,VILLARREAL CF,4,34,0.12
78,ÁLVARO GARCÍA,RAYO VALLECANO,4,36,0.11
79,MUNIR EL HADDADI,CD LEGANÉS,4,25,0.16
80,TONI MARTÍNEZ,DEPORTIVO ALAVÉS,4,28,0.14
81,ARNAUT DANJUMA,GIRONA FC,4,28,0.14
82,VITOR HUGO ROQUE FERREIRA,REAL BETIS,4,22,0.18
83,RAMON TERRATS,GETAFE CF,4,26,0.15
84,AITOR PAREDES,ATHLETIC CLUB,3,23,0.13
85,BRYAN GIL,GIRONA FC,3,25,0.12
86,CARLES PÉREZ,GETAFE CF,3,27,0.11
87,JOHNNY CARDOSO,REAL BETIS,3,28,0.11
88,ÁLEX MUÑOZ,UD LAS PALMAS,3,21,0.14
89,OLIVER MCBURNIE,UD LAS PALMAS,3,34,0.09
90,JON GURIDI,DEPORTIVO ALAVÉS,3,33,0.09
91,JAVI RODRÍGUEZ,CELTA,3,36,0.08
92,TASOS DOUVIKAS,CELTA,3,20,0.15
93,KIKE SALAS,SEVILLA FC,3,31,0.10
94,PABLO TORRE,FC BARCELONA,3,10,0.30
95,SEYDOUBA CISSÉ,CD LEGANÉS,3,34,0.09
96,DIEGO GARCÍA,CD LEGANÉS,3,28,0.11
97,LUCAS TORRÓ,CA OSASUNA,3,35,0.09
98,JAVI GUERRA,VALENCIA CF,3,36,0.08
99,BRAIS MÉNDEZ,REAL SOCIEDAD,3,27,0.11
100,SERGIO CAMELLO,RAYO VALLECANO,3,23,0.13
101,RANDY NTEKA,RAYO VALLECANO,3,24,0.13
102,PEDRO DÍAZ,RAYO VALLECANO,3,26,0.12
103,UNAI LÓPEZ,RAYO VALLECANO,3,32,0.09
104,ARDA GÜLER,REAL MADRID,3,28,0.11
105,MARTIN VALJENT,RCD MALLORCA,3,31,0.10
106,SAMUEL DIAS LINO,ATLÉTICO DE MADRID,3,31,0.10
107,RODRIGO DE PAUL,ATLÉTICO DE MADRID,3,34,0.09
108,PERE MILLA,RCD ESPANYOL DE BARCELONA,3,20,0.15
109,JOFRE CARRERAS,RCD ESPANYOL DE BARCELONA,3,37,0.08
110,SELIM AMALLAH,REAL VALLADOLID CF,3,24,0.13
111,DANI PAREJO,VILLARREAL CF,3,36,0.08
112,NICOLAS PÉPÉ,VILLARREAL CF,3,28,0.11
113,GERARD MORENO,VILLARREAL CF,3,17,0.18
114,MARASH KUMBULLA,RCD ESPANYOL DE BARCELONA,3,35,0.09
115,CONOR GALLAGHER,ATLÉTICO DE MADRID,3,32,0.09
116,JUANMI LATASA,REAL VALLADOLID CF,3,28,0.11
117,YÁSER ASPRILLA,GIRONA FC,3,27,0.11
118,ORRI ÓSKARSSON,REAL SOCIEDAD,3,23,0.13
119,MARCOS ALONSO,CELTA,3,31,0.10
120,MIKEL JAUREGIZAR,ATHLETIC CLUB,2,34,0.06
121,DONNY VAN DE BEEK,GIRONA FC,2,26,0.08
122,ARNAU MARTÍNEZ,GIRONA FC,2,32,0.06
123,LADISLAV KREJCÍ,GIRONA FC,2,28,0.07
124,DIEGO LLORENTE,REAL BETIS,2,30,0.07
125,CHIMY ÁVILA,REAL BETIS,2,19,0.11
126,ROMAIN PERRAUD,REAL BETIS,2,28,0.07
127,MARC BARTRA,REAL BETIS,2,25,0.08
128,MARC ROCA,REAL BETIS,2,14,0.14
129,ABDE EZZALZOULI,REAL BETIS,2,32,0.06
130,PABLO FORNALS,REAL BETIS,2,26,0.08
131,MANU FUSTER,UD LAS PALMAS,2,28,0.07
132,NAHUEL TENAGLIA,DEPORTIVO ALAVÉS,2,34,0.06
133,FRAN BELTRÁN,CELTA,2,34,0.06
134,CHIDERA EJUKE,SEVILLA FC,2,25,0.08
135,DJIBRIL SOW,SEVILLA FC,2,30,0.07
136,PAU VÍCTOR,FC BARCELONA,2,21,0.10
137,JULES KOUNDÉ,FC BARCELONA,2,32,0.06
138,ERIC GARCÍA,FC BARCELONA,2,29,0.07
139,JAVI HERNÁNDEZ,CD LEGANÉS,2,31,0.06
140,SERGIO GONZÁLEZ,CD LEGANÉS,2,36,0.06
141,ABEL BRETONES,CA OSASUNA,2,35,0.06
